POI_num_300,Public Infrastructure_300,Commercial Services_300,Education and Health_300,Transport_300,Retail_300,Sport and Entertainment_300,"Accommodation, Eating and Drinking_300",Manufacturing and Production_300,Attractions_300,POI_mix_300,"Industrial, commercial, public, military and private units_300",Roads and railways_300,Urban residential areas_300,Green urban areas (including Sports and leisure facilities)_300,"Natural areas (Arable land, forests, herbaceous vegetation associations, pastures and water)_300","Other (Construction sites, land without current use, mineral extraction and dump sites and port areas)_300",landuse_mix_300,mean_age_300,median_age_300,population_density(persons/sq.km)_300,employment_density(persons/sq.km)_300,male_percent_300,white_percent_300,collegeDegree_percent_300,bicycle_percent(commute)_300,walk_percent(commute)_300,car_percent(commute)_300,motorway(km/sq.km)_300,majorRoad(km/sq.km)_300,secondaryRoad(km/sq.km)_300,localRoad(km/sq.km)_300,road,building,vegetation,car
165,-1.7386496439141066,-1.0628942060660305,-1.927891643552635,-3.1600353248452673,-2.6210388241125804,-2.803360380906535,-2.2727321298443646,-3.3141860046725258,-4.007333185232471,-0.15842446245507014,-1.3829819880628458,-1.8619175763119538,-0.6825282898329181,-2.4252228703967518,0.0,0.0,-0.14796469405261006,35.718904082027024,33.27193376198976,10623.6238548698,4648.11342922398,-0.6448331507947715,-0.26814369905843466,-1.0744335952908346,-4.583457390060911,-1.08827126378242,-2.0820058746409527,1.5282828576071723,1.2179564283797604,4.250618599537962,16.473697250584546,-1.1685666837787134,-1.5050029894787518,-1.3654264673556444,-5.080222274779669
125,-1.570217199280819,-1.0441241033840398,-2.2633643798407643,-2.6310891599660815,-2.7488721956224653,-3.036554268074246,-2.120263536200091,-3.7297014486341915,-4.8283137373023015,-0.18659162319996073,-1.2710001261168578,-1.281521016134256,-0.8168200921532596,0.0,0.0,0.0,-0.023357750221180702,33.39477919476294,31.56404468103085,6037.3745276794725,2456.049974848543,-0.6874092292144148,-0.29197052560899245,-1.1865810720445167,-5.378950161853854,-1.1575431594577785,-2.175255992432456,11.302264554984488,5.388563880537268,3.206819337456313,14.591907608578177,-1.2988101494862723,-1.8977818212435005,-1.4583715145413931,-2.2262769517301946
340,-2.115373550905899,-0.6756540231124282,-2.6934514016810573,-3.344038967822207,-2.9385738597140425,-2.9385738597140425,-2.191359457883821,-3.120895416507997,-5.135798437050262,-0.30287947227343753,-1.4039431015497847,-1.38072433434441,-0.6872105970411826,0.0,0.0,0.0,-0.05713170810407969,30.573353645618628,27.835064162176014,7205.8658421403325,3050.619177521019,-0.6367126577714256,-0.3112580218835102,-0.9184944111057877,-4.728667852290147,-0.9129513880810889,-2.2089473917011726,7.024785836229272,4.228673606724267,5.664800961631959,14.942602425965493,-1.2053968874851475,-1.151001071054302,-3.1808904520971875,-4.5947772553181245
304,-2.003455634701914,-0.6050399130496785,-2.538973871058276,-3.414442608412176,-3.077970371790963,-3.152078343944685,-2.7212954278522306,-3.077970371790963,-5.0238805208462765,-0.35299761017923625,-1.2958318879460629,-1.3395040024918936,-0.7671073657388245,0.0,0.0,0.0,-0.034122355938523134,31.18472998051105,28.46108545259077,5813.416631668246,2442.9484521539484,-0.6701284134409241,-0.3168783053259982,-0.9918026477471462,-5.005019811045517,-0.998117296870496,-2.1918294934521176,8.933628648500392,4.196528302038362,4.624375784040469,15.882929902702493,-1.3454431272610274,-1.1193702332456807,-3.18658794959007,-3.918156236799725
310,-2.240064736012712,-0.49482528241954965,-2.740840023925201,-3.2516656476911914,-3.657130755799356,-3.657130755799356,-2.3025850929940455,-3.9448128282511368,-4.637960008811082,-0.46287490527373093,-1.1899917652903258,-1.50492097163687,-0.7973437275922688,-3.762856393274176,0.0,0.0,-0.193192516076879,29.596955221955355,25.599708142241163,2565.484736721437,933.007724597862,-0.5342385736543884,-0.3045504486150489,-1.0143898355862382,-5.329286947330879,-0.9074424980555016,-2.5288810594941533,5.293479731004625,1.6763213798410117,5.752556470023397,19.61473359730325,-1.1623105196734873,-0.9060296863136085,-2.6147897348270477,-3.3933321342273546
474,-2.1538741364626057,-0.718789611173283,-2.72722011720993,-3.7633120488967062,-3.025713105765927,-3.1166848839716534,-1.7667581670226378,-3.4531571205928664,-4.3694478524670215,-0.3064280805586117,-1.3378675303895282,-1.3808691961337813,-0.7321285346815778,-5.230457818678524,0.0,0.0,-0.2513268039382244,28.67050093097156,24.96141412871036,4910.793022353601,1705.4145952915414,-0.647035714051679,-0.31583224012927913,-0.9163760242435247,-4.605267345370567,-0.6613703658726541,-2.482498950800768,5.431562597175756,3.5836983733568517,6.5474794116080295,17.64049956675663,-1.3591127331354949,-0.7334290071773037,-3.51531219459998,-3.6020559196518995
528,-2.507896168012699,-0.47303853294088966,-2.835109079221115,-3.6300389540910025,-3.2245738459828384,-3.5610460826040518,-2.243744592971112,-3.4965075614664802,-5.170483995038151,-0.47646364666056673,-1.096071920809705,-1.7326440872556619,-0.7293879584663313,-4.991052214927755,0.0,0.0,-0.26997814596585185,30.082148506139845,26.473730053044033,3661.006451267405,1545.5259026725287,-0.49790848771024254,-0.28914170480314744,-0.9485635671540931,-5.734091813374522,-1.0027525269957855,-2.327106216012776,1.2044109086440262,1.7717295600604197,5.935028397983893,19.405357235458386,-1.2035853847973454,-0.668669035727546,-7.017597521385145,-4.283082861172521
286,-2.437115985951652,-0.5143282543171928,-3.353406717825807,-3.016934481204594,-3.258096538021482,-3.258096538021482,-2.0724728723637424,-3.8642323415917974,-4.962844630259907,-0.44165459246602995,-0.8484209760868626,-1.6767162142752332,-0.9547128641974933,0.0,0.0,0.0,-0.05078186730447904,29.150878121802183,26.491618873181284,3797.6009827739204,1639.641408368918,-0.49286463451714935,-0.29149222125586777,-0.9128808974478979,-5.781243216986256,-0.9810046915419185,-2.326919606911181,3.1643536515033723,3.766397658471889,4.740377616210616,16.983161556121512,-1.302967578245164,-0.6961390828007965,-3.6110321370038356,-4.3868710334088945
312,-2.3757073578230083,-0.49072975976285244,-3.4404180948154366,-2.9704144655697013,-3.545778610473263,-3.345107915011112,-2.132085275165258,-3.797093038754169,-5.049856007249537,-0.4691366397838025,-0.9380977385038897,-1.6648858027051932,-0.874018205267691,-6.144780787828594,0.0,0.0,-0.26832487814053907,29.381366786422554,26.306269205918326,3520.3711890104632,1485.6544283478245,-0.4924497673207425,-0.2889266211710977,-0.9551717978504081,-5.964523815403236,-1.011042308135895,-2.3256523185992664,3.2659369058666337,3.24149512898813,5.034092424339461,17.3993656486164,-1.2213761841144342,-0.7129907748258641,-3.244738903192749,-7.11574458252467
319,-2.3978952727983702,-0.48198737404685604,-3.462606009790799,-2.9319777587286286,-3.567966525448625,-3.367295829986474,-2.15427319014062,-3.8192809537295314,-5.072043922224899,-0.47773164536444573,-0.9444330712104828,-1.6686637291030106,-0.8698023318172279,-5.636064865333109,0.0,0.0,-0.2623351618471623,29.41611309955057,26.29593338606036,3498.7097246017765,1474.0159029698816,-0.49221925658171406,-0.28873234710082485,-0.9581272811227405,-5.969410324712622,-1.0137665221372143,-2.325221277408911,3.09487438804492,3.0970963262509086,5.052665199360416,17.505311258605314,-1.2213761841144342,-0.7129907748258641,-3.2447389031927485,-7.11574458252467
343,-2.2542115087098296,-0.48587231368987344,-2.746687993807624,-3.3528237973779396,-3.6405058698297204,-3.6405058698297204,-2.3412228856994597,-4.045970977937885,-4.22829253473184,-0.46680635010846583,-1.1722273992480394,-1.5740862028209728,-0.7767255903265364,-3.7628563932741756,0.0,0.0,-0.20110907721758228,29.696891145626612,25.702976421267824,2587.48993244062,957.8620167491243,-0.50648700649803,-0.30027473686527806,-1.0367187138512128,-5.4858055622348765,-0.9942068286867681,-2.4847397606837633,4.2398976861176845,1.0278614001801096,5.679485201832597,20.6126063739296,-1.164817239764347,-0.9464804058926585,-3.907929705015894,-3.135303870985469
241,-2.152592423315451,-0.5080631910700807,-3.405355391810819,-2.8457396038753964,-4.791649752930709,-3.2875723561544357,-2.152592423315451,-3.8753590210565543,-4.791649752930709,-0.47463084208311834,-0.9658504382710262,-1.4101498473143292,-0.9820850204718137,-7.257881365815349,0.0,0.0,-0.24521962664206728,29.416664989217292,26.813917069033128,3120.2164214573845,1278.7380713882162,-0.48452748814085145,-0.2816991530641976,-1.0078355009047053,-6.006012203401193,-1.088391435340543,-2.304595337182871,9.900228451611074,5.391536275190658,4.515037098137644,15.991940798556588,-1.2259667521897635,-0.7435853424045977,-4.445266454330216,-5.9409431554990135
349,-2.117402303919059,-0.5369519283582107,-2.6770180918544817,-3.457176649404057,-3.3701652724144266,-2.9647001643062625,-2.7640294688441114,-3.147021721100217,-5.855071922202427,-0.41095492273750805,-1.2076656960351884,-1.3503257125716295,-0.8312572381359548,-5.0438940179827885,0.0,0.0,-0.22638291755274645,30.346729337873846,27.00109325234098,3615.965454021221,1264.692552849413,-0.6104302235635605,-0.3229910338109841,-1.0603110608376571,-5.063772974852023,-0.9233774986740292,-2.487955280083042,8.6549480551085,3.587260174643089,5.284459516964345,16.3568121792419,-1.3188370789197656,-0.7239609579407995,-4.062997134555673,-3.475243268098911
620,-2.7921333183127515,-0.4357580507325681,-2.818801565394913,-3.485280498872697,-3.3386770246808215,-3.9448128282511368,-2.181224235989778,-3.9448128282511368,-4.2324949007029185,-0.5195585805528845,-1.4876285732019559,-1.6663458981307184,-0.5763624479610495,-3.762856393274176,0.0,0.0,-0.2663450086165383,30.44198120359543,25.618937459677763,1811.0700264157492,724.1496702604074,-0.5288777528857925,-0.2815733575575589,-0.9497996494287216,-5.536398538411736,-0.9244917196652982,-2.3987283416155063,0.9937679924160444,0.0,6.595857551092376,23.88961371878251,-1.3070204299109072,-0.5706755829798507,-11.01226340141685,-4.325826417466203
624,-2.7472709142554916,-0.4471889514795643,-2.7472709142554916,-3.545778610473263,-3.3006561524402778,-4.038255095571057,-2.159484249353372,-3.951243718581427,-4.238925791033208,-0.5098812853988807,-1.5057281968403562,-1.6598504696568388,-0.5713551363786651,-3.762856393274176,0.0,0.0,-0.2686053914776499,30.411811001505537,25.569005295861693,1804.3454711849795,719.5042682068428,-0.5325505742766946,-0.2821023227817113,-0.9485154337571309,-5.5309182401342545,-0.9172855844648282,-2.3997548400588435,0.9731439079680708,0.0,6.6676155169578815,23.962809321095047,-1.307020429910907,-0.5706755829798507,-11.01226340141685,-4.325826417466203
