siteId,daily_average_flow,weekly_average_flow,monthly_average_flow,daily_Before_COVID,daily_1st_Lockdown,daily_2nd_Lockdown,daily_Post_COVID
GA0151_A,713.1128834355828,4883.924369747899,20040.931034482757,989.0289855072464,429.81538461538463,475.38461538461536,786.0294117647059
GA0151_C,2513.927607361963,17217.235294117647,70650.03448275862,3134.376811594203,1665.7846153846153,2127.753846153846,2624.4411764705883
GA0151_D,1526.1852760736197,10452.44537815126,42891.06896551724,2291.478260869565,544.7846153846153,1000.6307692307693,1714.9117647058824
GA0401_R,387.81595092024537,2656.0504201680674,10898.965517241379,606.9420289855072,366.7846153846154,275.8615384615385,332.1617647058824
GA0401_S,1839.041717791411,12595.117647058823,51683.41379310345,2985.550724637681,890.8615384615384,1115.8615384615384,2135.955882352941
GA0401_T,457.5288343558282,3133.4957983193276,12858.137931034482,571.2608695652174,349.89230769230767,412.96923076923076,449.95588235294116
GA0571_N,2388.4613496932516,16357.949579831933,67124.0,2625.463768115942,2311.4461538461537,2214.0615384615385,2281.0588235294117
GA0571_V,733.5300613496933,5023.756302521008,20614.724137931036,1240.4057971014493,981.9076923076923,427.18461538461537,571.2058823529412
GA058A_B,1180.0944785276074,8082.1596638655465,33164.724137931036,1042.3623188405797,1127.8615384615384,1192.4769230769232,1322.0882352941176
GA058A_C,1292.3889570552146,8851.235294117647,36320.58620689655,2092.753623188406,1568.5076923076922,872.123076923077,1206.6029411764705
GA0601_T,1094.5141104294478,7496.042016806723,30759.620689655174,1282.9130434782608,804.6769230769231,1247.9076923076923,305.3382352941176
GA0601_V,810.559509202454,5551.310924369748,22779.51724137931,832.9420289855072,518.2153846153847,803.6461538461539,800.7941176470588
GA0651_A,456.12147239263805,3123.8571428571427,12818.586206896553,661.4492753623189,417.6461538461538,319.87692307692305,516.5147058823529
GA0651_B,847.2490797546012,5802.588235294118,23810.620689655174,1255.1739130434783,513.3846153846154,505.6,1070.1764705882354
GA0651_C,357.48957055214726,2448.3529411764707,10046.689655172413,434.28985507246375,280.0615384615385,300.84615384615387,360.1617647058824
GA070A_S,1963.3411042944786,13446.411764705883,55176.65517241379,2116.782608695652,1455.0,1924.9076923076923,2223.6470588235293
GA1051_P,1218.9742331288344,8348.436974789916,34257.379310344826,1910.231884057971,904.8307692307692,631.9846153846154,1526.1617647058824
GA1051_S,888.4196319018405,6084.55462184874,24967.655172413793,1315.9420289855072,1002.2153846153847,519.9692307692308,970.2647058823529
GA1321_B,864.8,5922.789915966387,24303.862068965518,1194.9130434782608,1025.3538461538462,532.4,924.8235294117648
GA1321_C,1098.6957055214723,7524.680672268908,30877.137931034482,1405.8260869565217,971.4615384615385,834.9846153846154,1207.1911764705883
GA1331_V,843.6147239263804,5777.697478991597,23708.48275862069,1259.1884057971015,1023.7846153846153,508.87692307692305,888.6617647058823
GA1361_B,2004.6601226993864,13729.394957983193,56337.862068965514,1811.927536231884,1863.553846153846,2051.1384615384613,2098.823529411765
GA1361_C,598.8466257668712,4101.344537815126,16829.655172413793,589.8985507246376,699.5692307692308,385.6923076923077,682.2794117647059
GA1371_R,1525.9116564417177,10450.57142857143,42883.379310344826,1598.855072463768,1921.246153846154,1282.676923076923,1343.5294117647059
GA1371_V,500.3877300613497,3427.0252100840335,14062.620689655172,513.3913043478261,582.4,369.9076923076923,494.5735294117647
GA1501_T,799.3263803680982,5474.378151260505,22463.827586206895,1177.4782608695652,456.8,575.7846153846153,871.4705882352941
GA1571_Q,1085.2674846625766,7432.714285714285,30499.758620689656,1087.2463768115942,967.3076923076923,1062.923076923077,1179.25
GA1571_T,1552.9447852760736,10635.714285714286,43643.10344827586,2073.9710144927535,1420.6153846153845,838.1076923076923,1732.1911764705883
GA1601_A,1553.993865030675,10642.899159663866,43672.58620689655,2293.4202898550725,1283.446153846154,819.5846153846154,1861.014705882353
GA1851_A,2028.9803680981595,13895.957983193277,57021.34482758621,2533.913043478261,871.9846153846154,1480.3384615384616,2425.926470588235
GA1851_C,596.640490797546,4086.235294117647,16767.655172413793,1318.7101449275362,530.1538461538462,347.0615384615385,413.19117647058823
